"Id","season","team1","team2","team1seed","team2seed","fgm.x","fga.x","fgm3.x","fga3.x","fta.x","or.x","dr.x","ast.x","to.x","stl.x","blk.x","pf.x","n.x","fgm.y","fga.y","fgm3.y","fga3.y","fta.y","or.y","dr.y","ast.y","to.y","stl.y","blk.y","pf.y","n.y","Pred","ada"
"2016_1112_1231",2016,1112,1231,6,5,926,1922,215,562,848,384,944,479,423,162,158,601,33,934,1864,316,762,621,385,811,511,437,222,127,582,32,0.331393571212511,0.46178391972842
"2016_1112_1233",2016,1112,1233,6,13,926,1922,215,562,848,384,944,479,423,162,158,601,33,888,1947,320,860,633,339,842,539,409,242,132,622,32,0.789644112505692,0.76529312333936
"2016_1112_1234",2016,1112,1234,6,7,926,1922,215,562,848,384,944,479,423,162,158,601,33,855,1898,255,667,634,369,821,496,323,211,150,504,31,0.57596030511978,0.31434372992814
"2016_1112_1235",2016,1112,1235,6,4,926,1922,215,562,848,384,944,479,423,162,158,601,33,998,1990,265,697,507,291,863,529,370,197,135,497,32,0.337225649961739,0.241493819646053
"2016_1112_1242",2016,1112,1242,6,1,926,1922,215,562,848,384,944,479,423,162,158,601,33,929,1901,268,635,742,348,884,510,414,223,132,624,33,0.303287543274215,0.187057848306012
"2016_1112_1246",2016,1112,1246,6,4,926,1922,215,562,848,384,944,479,423,162,158,601,33,971,2029,236,637,777,438,874,490,374,191,192,696,34,0.202489129705585,0.168399976557565
"2016_1112_1268",2016,1112,1268,6,5,926,1922,215,562,848,384,944,479,423,162,158,601,33,848,1747,248,660,622,295,837,450,411,184,172,532,32,0.446271998259128,0.459997459146394
"2016_1112_1274",2016,1112,1274,6,3,926,1922,215,562,848,384,944,479,423,162,158,601,33,837,1756,219,599,702,310,802,410,341,194,116,530,32,0.327269886471949,0.301905915361141
"2016_1112_1276",2016,1112,1276,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,871,1874,320,833,533,260,797,494,321,179,69,517,33,0.679079681914536,0.656422100725189
"2016_1112_1277",2016,1112,1277,6,2,926,1922,215,562,848,384,944,479,423,162,158,601,33,979,2024,310,715,608,418,1005,699,401,150,175,649,34,0.349361513828365,0.334061217335432
"2016_1112_1292",2016,1112,1292,6,15,926,1922,215,562,848,384,944,479,423,162,158,601,33,803,1789,248,638,639,318,823,404,370,194,108,634,31,0.822403189146777,0.846554479109017
"2016_1112_1314",2016,1112,1314,6,1,926,1922,215,562,848,384,944,479,423,162,158,601,33,1047,2187,183,583,705,477,916,616,371,234,149,609,34,0.159241592147435,0.114862597484318
"2016_1112_1320",2016,1112,1320,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,771,1697,267,718,557,177,803,391,320,191,87,506,33,0.720613106303851,0.697373327261171
"2016_1112_1323",2016,1112,1323,6,6,926,1922,215,562,848,384,944,479,423,162,158,601,33,869,1844,235,637,612,349,805,431,311,179,125,496,32,0.352130474089383,0.283611943863279
"2016_1112_1328",2016,1112,1328,6,2,926,1922,215,562,848,384,944,479,423,162,158,601,33,884,1928,334,784,647,343,899,465,415,221,168,538,32,0.450528612904804,0.379566350808236
"2016_1112_1332",2016,1112,1332,6,1,926,1922,215,562,848,384,944,479,423,162,158,601,33,901,1943,231,659,782,388,792,450,375,251,192,595,33,0.222801833119528,0.125985878551696
"2016_1112_1333",2016,1112,1333,6,7,926,1922,215,562,848,384,944,479,423,162,158,601,33,759,1727,205,550,642,317,719,401,346,220,98,607,30,0.655402794240373,0.608833593418164
"2016_1112_1338",2016,1112,1338,6,10,926,1922,215,562,848,384,944,479,423,162,158,601,33,827,1801,195,555,660,392,774,520,362,156,107,542,31,0.708337694754346,0.68712973444041
"2016_1112_1344",2016,1112,1344,6,9,926,1922,215,562,848,384,944,479,423,162,158,601,33,833,1974,234,729,744,385,822,525,380,219,119,558,33,0.762150208489414,0.406883695028068
"2016_1112_1345",2016,1112,1345,6,5,926,1922,215,562,848,384,944,479,423,162,158,601,33,934,1980,259,703,695,395,993,598,406,145,158,584,34,0.472159059695124,0.254878803459163
"2016_1112_1355",2016,1112,1355,6,12,926,1922,215,562,848,384,944,479,423,162,158,601,33,791,1768,235,650,718,346,817,350,364,143,66,619,31,0.734664881998733,0.780220391873437
"2016_1112_1371",2016,1112,1371,6,6,926,1922,215,562,848,384,944,479,423,162,158,601,33,872,1937,202,573,787,425,896,447,457,240,154,616,33,0.507673389736579,0.230424378375228
"2016_1112_1372",2016,1112,1372,6,14,926,1922,215,562,848,384,944,479,423,162,158,601,33,796,1636,223,595,554,309,637,514,352,234,92,586,28,0.807249852411421,0.810206025218237
"2016_1112_1380",2016,1112,1380,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,780,1789,182,528,692,315,783,320,351,228,103,612,31,0.816173556624102,0.835021897612934
"2016_1112_1386",2016,1112,1386,6,8,926,1922,215,562,848,384,944,479,423,162,158,601,33,926,2038,238,728,769,345,967,514,344,175,115,545,34,0.591928990292548,0.50484115855706
"2016_1112_1392",2016,1112,1392,6,13,926,1922,215,562,848,384,944,479,423,162,158,601,33,843,1768,194,517,574,355,795,489,350,177,138,487,30,0.733216763084391,0.560914197684534
"2016_1112_1393",2016,1112,1393,6,10,926,1922,215,562,848,384,944,479,423,162,158,601,33,766,1796,280,776,637,378,759,450,388,259,130,530,32,0.684310357855036,0.6373912921627
"2016_1112_1396",2016,1112,1396,6,10,926,1922,215,562,848,384,944,479,423,162,158,601,33,792,1957,251,739,529,358,818,433,293,171,100,516,32,0.728902903349276,0.422431189429356
"2016_1112_1400",2016,1112,1400,6,6,926,1922,215,562,848,384,944,479,423,162,158,601,33,789,1828,223,658,725,352,753,367,332,165,140,664,32,0.489929715922669,0.472848969208651
"2016_1112_1401",2016,1112,1401,6,3,926,1922,215,562,848,384,944,479,423,162,158,601,33,906,2016,261,745,755,436,886,574,401,235,128,615,34,0.387893165944511,0.213145489786406
"2016_1112_1403",2016,1112,1403,6,8,926,1922,215,562,848,384,944,479,423,162,158,601,33,760,1700,178,517,732,320,739,404,371,182,130,573,31,0.690059889321571,0.666433591828771
"2016_1112_1409",2016,1112,1409,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,796,1793,216,656,717,313,773,425,335,211,83,549,31,0.752218024286205,0.736725238955058
"2016_1112_1421",2016,1112,1421,6,15,926,1922,215,562,848,384,944,479,423,162,158,601,33,803,1783,173,537,756,358,789,372,408,286,100,548,31,0.787315690251034,0.792999032786595
"2016_1112_1423",2016,1112,1423,6,13,926,1922,215,562,848,384,944,479,423,162,158,601,33,835,1835,209,613,658,355,762,397,343,207,125,716,30,0.67346790242525,0.647842090206385
"2016_1112_1425",2016,1112,1425,6,8,926,1922,215,562,848,384,944,479,423,162,158,601,33,954,2085,260,675,737,396,906,491,403,209,180,576,33,0.58360638770948,0.473022489867693
"2016_1112_1428",2016,1112,1428,6,3,926,1922,215,562,848,384,944,479,423,162,158,601,33,886,1831,248,688,703,314,902,504,401,174,139,517,33,0.406980703629863,0.292651090348512
"2016_1112_1433",2016,1112,1433,6,10,926,1922,215,562,848,384,944,479,423,162,158,601,33,953,2116,247,694,684,425,845,488,389,299,130,665,34,0.46044779658446,0.306636675022558
"2016_1112_1435",2016,1112,1435,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,841,1826,270,695,721,304,930,478,374,138,177,612,32,0.770700232550244,0.549457513324183
"2016_1112_1437",2016,1112,1437,6,2,926,1922,215,562,848,384,944,479,423,162,158,601,33,905,1936,291,847,664,315,896,549,378,229,116,596,34,0.325614018759823,0.314290798637735
"2016_1112_1438",2016,1112,1438,6,1,926,1922,215,562,848,384,944,479,423,162,158,601,33,849,1743,198,489,565,296,756,473,310,181,97,540,33,0.221246592941545,0.357554315960241
"2016_1112_1451",2016,1112,1451,6,15,926,1922,215,562,848,384,944,479,423,162,158,601,33,773,1634,248,688,762,260,882,403,426,145,103,561,31,0.88333797357648,0.863734751592539
"2016_1112_1452",2016,1112,1452,6,3,926,1922,215,562,848,384,944,479,423,162,158,601,33,927,2050,206,627,945,541,791,502,476,338,86,795,34,0.251571493576641,0.251871922347421
"2016_1112_1453",2016,1112,1453,6,14,926,1922,215,562,848,384,944,479,423,162,158,601,33,957,2154,234,668,910,424,850,458,399,306,152,654,33,0.749987573512527,0.658741392350981
"2016_1112_1455",2016,1112,1455,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,777,1795,227,691,679,360,802,444,305,225,111,627,31,0.657744459842154,0.504455279051648
"2016_1112_1458",2016,1112,1458,6,7,926,1922,215,562,848,384,944,479,423,162,158,601,33,751,1748,211,590,694,366,751,371,351,188,102,542,32,0.567266958496934,0.43974156321064
"2016_1112_1462",2016,1112,1462,6,2,926,1922,215,562,848,384,944,479,423,162,158,601,33,876,1938,243,672,832,418,894,524,408,234,98,646,32,0.465030193869875,0.232650090286928
"2016_1112_1463",2016,1112,1463,6,12,926,1922,215,562,848,384,944,479,423,162,158,601,33,707,1513,173,466,636,364,724,407,364,151,122,485,27,0.808204947917116,0.799358483888262
"2016_1114_1122",2016,1114,1122,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,844,1837,205,588,855,366,818,425,480,228,91,582,33,0.736740662943774,0.689305106665745
"2016_1114_1124",2016,1114,1124,12,5,776,1698,228,589,531,270,750,400,317,195,95,566,31,858,1852,198,530,726,434,743,547,410,247,127,621,32,0.279540477390925,0.166351835453316
"2016_1114_1138",2016,1114,1138,12,14,776,1698,228,589,531,270,750,400,317,195,95,566,31,852,1962,243,725,819,399,882,414,456,222,115,702,33,0.643939024081426,0.712350114951132
"2016_1114_1139",2016,1114,1139,12,9,776,1698,228,589,531,270,750,400,317,195,95,566,31,868,1864,220,569,741,354,775,445,317,210,104,617,31,0.374990347823966,0.163728241429483
"2016_1114_1143",2016,1114,1143,12,4,776,1698,228,589,531,270,750,400,317,195,95,566,31,867,1881,233,632,780,374,945,428,403,136,159,682,33,0.234098682393577,0.168126953002463
"2016_1114_1151",2016,1114,1151,12,12,776,1698,228,589,531,270,750,400,317,195,95,566,31,803,1782,239,662,748,350,784,447,390,235,152,558,32,0.550960257364198,0.280984247363612
"2016_1114_1153",2016,1114,1153,12,9,776,1698,228,589,531,270,750,400,317,195,95,566,31,823,1925,242,701,645,432,828,495,354,254,186,500,32,0.388452063940201,0.2773583243975
"2016_1114_1160",2016,1114,1160,12,8,776,1698,228,589,531,270,750,400,317,195,95,566,31,805,1911,241,619,764,419,935,431,431,166,161,599,32,0.580791413374865,0.272304195952446
"2016_1114_1163",2016,1114,1163,12,9,776,1698,228,589,531,270,750,400,317,195,95,566,31,900,1959,239,660,581,322,920,471,378,194,171,612,34,0.31419017666229,0.210666372458706
"2016_1114_1167",2016,1114,1167,12,15,776,1698,228,589,531,270,750,400,317,195,95,566,31,751,1682,157,454,648,356,746,434,360,224,147,623,29,0.69046300161239,0.755335719156754
"2016_1114_1173",2016,1114,1173,12,7,776,1698,228,589,531,270,750,400,317,195,95,566,31,818,1780,215,620,730,317,920,470,418,189,142,610,32,0.452807399813578,0.365887522785348
"2016_1114_1181",2016,1114,1181,12,4,776,1698,228,589,531,270,750,400,317,195,95,566,31,905,1972,306,791,792,404,795,445,326,211,138,549,33,0.164700550622733,0.194784047178865
"2016_1114_1192",2016,1114,1192,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,858,1880,225,617,631,327,700,437,403,228,78,669,31,0.707399861227932,0.687440870230289
"2016_1114_1195",2016,1114,1195,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,818,1742,147,425,634,332,811,374,348,178,117,569,29,0.645355362032413,0.774062940842313
"2016_1114_1201",2016,1114,1201,12,14,776,1698,228,589,531,270,750,400,317,195,95,566,31,836,1942,201,586,740,366,819,418,340,261,119,712,32,0.569847772786385,0.607155532798047
"2016_1114_1211",2016,1114,1211,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,896,1846,249,662,662,335,925,444,363,160,96,563,32,0.372320955444905,0.234255526945023
"2016_1114_1214",2016,1114,1214,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,772,1847,198,641,775,422,817,368,416,157,110,614,30,0.792377395474959,0.556821863077932
"2016_1114_1218",2016,1114,1218,12,13,776,1698,228,589,531,270,750,400,317,195,95,566,31,778,1694,220,671,784,313,808,469,395,232,117,614,30,0.692027007254682,0.655992308412825
"2016_1114_1221",2016,1114,1221,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,737,1785,236,721,644,269,725,459,362,213,83,555,33,0.825693609099212,0.752631010541908
"2016_1114_1231",2016,1114,1231,12,5,776,1698,228,589,531,270,750,400,317,195,95,566,31,934,1864,316,762,621,385,811,511,437,222,127,582,32,0.17817834231053,0.26421155189759
"2016_1114_1233",2016,1114,1233,12,13,776,1698,228,589,531,270,750,400,317,195,95,566,31,888,1947,320,860,633,339,842,539,409,242,132,622,32,0.621502860895826,0.693848637604156
"2016_1114_1234",2016,1114,1234,12,7,776,1698,228,589,531,270,750,400,317,195,95,566,31,855,1898,255,667,634,369,821,496,323,211,150,504,31,0.3727030875918,0.115387376548404
"2016_1114_1235",2016,1114,1235,12,4,776,1698,228,589,531,270,750,400,317,195,95,566,31,998,1990,265,697,507,291,863,529,370,197,135,497,32,0.182048210996718,0.0944214186586888
"2016_1114_1242",2016,1114,1242,12,1,776,1698,228,589,531,270,750,400,317,195,95,566,31,929,1901,268,635,742,348,884,510,414,223,132,624,33,0.159957948477729,0.0549420601867001
"2016_1114_1246",2016,1114,1246,12,4,776,1698,228,589,531,270,750,400,317,195,95,566,31,971,2029,236,637,777,438,874,490,374,191,192,696,34,0.0999609253660164,0.0729366912258755
"2016_1114_1268",2016,1114,1268,12,5,776,1698,228,589,531,270,750,400,317,195,95,566,31,848,1747,248,660,622,295,837,450,411,184,172,532,32,0.260649689492359,0.163773773519817
"2016_1114_1274",2016,1114,1274,12,3,776,1698,228,589,531,270,750,400,317,195,95,566,31,837,1756,219,599,702,310,802,410,341,194,116,530,32,0.175460860173458,0.107867908066248
"2016_1114_1276",2016,1114,1276,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,871,1874,320,833,533,260,797,494,321,179,69,517,33,0.480683632311536,0.319679890712434
"2016_1114_1277",2016,1114,1277,12,2,776,1698,228,589,531,270,750,400,317,195,95,566,31,979,2024,310,715,608,418,1005,699,401,150,175,649,34,0.190202260105045,0.15534161132543
"2016_1114_1292",2016,1114,1292,12,15,776,1698,228,589,531,270,750,400,317,195,95,566,31,803,1789,248,638,639,318,823,404,370,194,108,634,31,0.669486909163795,0.616499529438275
"2016_1114_1314",2016,1114,1314,12,1,776,1698,228,589,531,270,750,400,317,195,95,566,31,1047,2187,183,583,705,477,916,616,371,234,149,609,34,0.0765105024031244,0.0934023508967584
"2016_1114_1320",2016,1114,1320,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,771,1697,267,718,557,177,803,391,320,191,87,506,33,0.530127283764067,0.309151846075896
"2016_1114_1323",2016,1114,1323,12,6,776,1698,228,589,531,270,750,400,317,195,95,566,31,869,1844,235,637,612,349,805,431,311,179,125,496,32,0.192082169749353,0.109521205152327
"2016_1114_1328",2016,1114,1328,12,2,776,1698,228,589,531,270,750,400,317,195,95,566,31,884,1928,334,784,647,343,899,465,415,221,168,538,32,0.263979860421334,0.158073729988262
"2016_1114_1332",2016,1114,1332,12,1,776,1698,228,589,531,270,750,400,317,195,95,566,31,901,1943,231,659,782,388,792,450,375,251,192,595,33,0.111425510785893,0.0466825736659849
"2016_1114_1333",2016,1114,1333,12,7,776,1698,228,589,531,270,750,400,317,195,95,566,31,759,1727,205,550,642,317,719,401,346,220,98,607,30,0.454135349793887,0.225119146003476
"2016_1114_1338",2016,1114,1338,12,10,776,1698,228,589,531,270,750,400,317,195,95,566,31,827,1801,195,555,660,392,774,520,362,156,107,542,31,0.515114081736227,0.373950333596967
"2016_1114_1344",2016,1114,1344,12,9,776,1698,228,589,531,270,750,400,317,195,95,566,31,833,1974,234,729,744,385,822,525,380,219,119,558,33,0.583620723607682,0.209461428560482
"2016_1114_1345",2016,1114,1345,12,5,776,1698,228,589,531,270,750,400,317,195,95,566,31,934,1980,259,703,695,395,993,598,406,145,158,584,34,0.281238076312106,0.166325285027594
"2016_1114_1355",2016,1114,1355,12,12,776,1698,228,589,531,270,750,400,317,195,95,566,31,791,1768,235,650,718,346,817,350,364,143,66,619,31,0.547746883663024,0.312944312246822
"2016_1114_1371",2016,1114,1371,12,6,776,1698,228,589,531,270,750,400,317,195,95,566,31,872,1937,202,573,787,425,896,447,457,240,154,616,33,0.310848904775364,0.128172680454843
"2016_1114_1372",2016,1114,1372,12,14,776,1698,228,589,531,270,750,400,317,195,95,566,31,796,1636,223,595,554,309,637,514,352,234,92,586,28,0.646888230227397,0.685928528707308
"2016_1114_1380",2016,1114,1380,12,16,776,1698,228,589,531,270,750,400,317,195,95,566,31,780,1789,182,528,692,315,783,320,351,228,103,612,31,0.660110212568299,0.594794223848378
"2016_1114_1386",2016,1114,1386,12,8,776,1698,228,589,531,270,750,400,317,195,95,566,31,926,2038,238,728,769,345,967,514,344,175,115,545,34,0.388195412021366,0.19146001615643
"2016_1114_1392",2016,1114,1392,12,13,776,1698,228,589,531,270,750,400,317,195,95,566,31,843,1768,194,517,574,355,795,489,350,177,138,487,30,0.545909164855359,0.642179918915215
"2016_1114_1393",2016,1114,1393,12,10,776,1698,228,589,531,270,750,400,317,195,95,566,31,766,1796,280,776,637,378,759,450,388,259,130,530,32,0.486703738896973,0.445559060342051
"2016_1114_1396",2016,1114,1396,12,10,776,1698,228,589,531,270,750,400,317,195,95,566,31,792,1957,251,739,529,358,818,433,293,171,100,516,32,0.540464790926799,0.222941340387386
"2016_1114_1400",2016,1114,1400,12,6,776,1698,228,589,531,270,750,400,317,195,95,566,31,789,1828,223,658,725,352,753,367,332,165,140,664,32,0.295850561084575,0.187685809723215
"2016_1114_1401",2016,1114,1401,12,3,776,1698,228,589,531,270,750,400,317,195,95,566,31,906,2016,261,745,755,436,886,574,401,235,128,615,34,0.217035498369156,0.0746033933740479
"2016_1114_1403",2016,1114,1403,12,8,776,1698,228,589,531,270,750,400,317,195,95,566,31,760,1700,178,517,732,320,739,404,371,182,130,573,31,0.493387822374829,0.408904160475795
"2016_1114_1409",2016,1114,1409,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,796,1793,216,656,717,313,773,425,335,211,83,549,31,0.570435309884313,0.262261061671506
"2016_1114_1421",2016,1114,1421,12,15,776,1698,228,589,531,270,750,400,317,195,95,566,31,803,1783,173,537,756,358,789,372,408,286,100,548,31,0.618213140430606,0.626966799316053
"2016_1114_1423",2016,1114,1423,12,13,776,1698,228,589,531,270,750,400,317,195,95,566,31,835,1835,209,613,658,355,762,397,343,207,125,716,30,0.474288332146486,0.480942007285174
"2016_1114_1425",2016,1114,1425,12,8,776,1698,228,589,531,270,750,400,317,195,95,566,31,954,2085,260,675,737,396,906,491,403,209,180,576,33,0.380069371571064,0.216969884675059
"2016_1114_1428",2016,1114,1428,12,3,776,1698,228,589,531,270,750,400,317,195,95,566,31,886,1831,248,688,703,314,902,504,401,174,139,517,33,0.230886781374803,0.0867798301452306
"2016_1114_1433",2016,1114,1433,12,10,776,1698,228,589,531,270,750,400,317,195,95,566,31,953,2116,247,694,684,425,845,488,389,299,130,665,34,0.271823677051143,0.231306588409063
"2016_1114_1435",2016,1114,1435,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,841,1826,270,695,721,304,930,478,374,138,177,612,32,0.595179616165108,0.32062294291566
"2016_1114_1437",2016,1114,1437,12,2,776,1698,228,589,531,270,750,400,317,195,95,566,31,905,1936,291,847,664,315,896,549,378,229,116,596,34,0.174373997498107,0.0847991593006642
"2016_1114_1438",2016,1114,1438,12,1,776,1698,228,589,531,270,750,400,317,195,95,566,31,849,1743,198,489,565,296,756,473,310,181,97,540,33,0.110537146282548,0.129375523353223
"2016_1114_1451",2016,1114,1451,12,15,776,1698,228,589,531,270,750,400,317,195,95,566,31,773,1634,248,688,762,260,882,403,426,145,103,561,31,0.768093507051957,0.686288415635337
"2016_1114_1452",2016,1114,1452,12,3,776,1698,228,589,531,270,750,400,317,195,95,566,31,927,2050,206,627,945,541,791,502,476,338,86,795,34,0.128185524332273,0.0545273519092897
"2016_1114_1453",2016,1114,1453,12,14,776,1698,228,589,531,270,750,400,317,195,95,566,31,957,2154,234,668,910,424,850,458,399,306,152,654,33,0.567509335973372,0.607318709920206
"2016_1114_1455",2016,1114,1455,12,11,776,1698,228,589,531,270,750,400,317,195,95,566,31,777,1795,227,691,679,360,802,444,305,225,111,627,31,0.456710973080303,0.20295325319338
"2016_1114_1458",2016,1114,1458,12,7,776,1698,228,589,531,270,750,400,317,195,95,566,31,751,1748,211,590,694,366,751,371,351,188,102,542,32,0.364440933411612,0.121630803078399
"2016_1114_1462",2016,1114,1462,12,2,776,1698,228,589,531,270,750,400,317,195,95,566,31,876,1938,243,672,832,418,894,524,408,234,98,646,32,0.275487346867729,0.055538404121814
"2016_1114_1463",2016,1114,1463,12,12,776,1698,228,589,531,270,750,400,317,195,95,566,31,707,1513,173,466,636,364,724,407,364,151,122,485,27,0.648291732933322,0.655969901847236
"2016_1122_1124",2016,1122,1124,16,5,844,1837,205,588,855,366,818,425,480,228,91,582,33,858,1852,198,530,726,434,743,547,410,247,127,621,32,0.121763159927494,0.085886354029753
"2016_1122_1138",2016,1122,1138,16,14,844,1837,205,588,855,366,818,425,480,228,91,582,33,852,1962,243,725,819,399,882,414,456,222,115,702,33,0.392552780828844,0.571667721045918
"2016_1122_1139",2016,1122,1139,16,9,844,1837,205,588,855,366,818,425,480,228,91,582,33,868,1864,220,569,741,354,775,445,317,210,104,617,31,0.176540633777208,0.130587057468573
"2016_1122_1143",2016,1122,1143,16,4,844,1837,205,588,855,366,818,425,480,228,91,582,33,867,1881,233,632,780,374,945,428,403,136,159,682,33,0.0984641828230821,0.0797117625658795
"2016_1122_1151",2016,1122,1151,16,12,844,1837,205,588,855,366,818,425,480,228,91,582,33,803,1782,239,662,748,350,784,447,390,235,152,558,32,0.304799724863433,0.143854427371428
"2016_1122_1153",2016,1122,1153,16,9,844,1837,205,588,855,366,818,425,480,228,91,582,33,823,1925,242,701,645,432,828,495,354,254,186,500,32,0.184986791022858,0.126883891310303
"2016_1122_1160",2016,1122,1160,16,8,844,1837,205,588,855,366,818,425,480,228,91,582,33,805,1911,241,619,764,419,935,431,431,166,161,599,32,0.331131197671878,0.142735175554064
"2016_1122_1163",2016,1122,1163,16,9,844,1837,205,588,855,366,818,425,480,228,91,582,33,900,1959,239,660,581,322,920,471,378,194,171,612,34,0.140674601014152,0.12726126415537
"2016_1122_1167",2016,1122,1167,16,15,844,1837,205,588,855,366,818,425,480,228,91,582,33,751,1682,157,454,648,356,746,434,360,224,147,623,29,0.443538946975003,0.456350588032613
"2016_1122_1173",2016,1122,1173,16,7,844,1837,205,588,855,366,818,425,480,228,91,582,33,818,1780,215,620,730,317,920,470,418,189,142,610,32,0.228212805960351,0.149573154620596
"2016_1122_1181",2016,1122,1181,16,4,844,1837,205,588,855,366,818,425,480,228,91,582,33,905,1972,306,791,792,404,795,445,326,211,138,549,33,0.0658192476387035,0.148409430942157
"2016_1122_1192",2016,1122,1192,16,16,844,1837,205,588,855,366,818,425,480,228,91,582,33,858,1880,225,617,631,327,700,437,403,228,78,669,31,0.463488304021147,0.500324430890306
"2016_1122_1195",2016,1122,1195,16,16,844,1837,205,588,855,366,818,425,480,228,91,582,33,818,1742,147,425,634,332,811,374,348,178,117,569,29,0.394028077319689,0.484484519218256
